"Name","NumOfPublications"
MindCare,90
MindCare/Fabulous,22
MindTrek,601
Mindtrek,27
MineNet,34
MoChArt,33
MoChArt@CONCUR/SPIN,11
MoDELS,803
MoDELS (Companion),648
MoDELS (Demos/Posters/StudentResearch),24
MoDELS (Doctoral Symposium),49
MoDELS (Satellite Events),139
MoDELS (Workshops),315
MoDRE,52
MoDRE@RE,24
MoDeVVa@MoDELS,55
MoMLeT,51
MoMLeT+DS,161
MoMM,867
MoVid@MMSys,35
MoWNet,90
MobIS,58
MobiArch,21
MobiArch@MobiCom,65
MobiCASE,308
MobiCom,1712
MobiDE,145
MobiGIS,62
MobiGames@MobiSys,14
MobiHealth,436
MobiHeld,31
MobiHoc,1024
MobiMedia,351
MobiOpp,65
MobiQuitous,1013
MobiSec,169
MobiSys,1288
MobiSys PhDForum,24
MobiWIS,235
MobiWac,170
Mobidata,27
Mobile Agents,77
Mobile Data Management,392
Mobile HCI,1111
Mobile HCI Workshop on Mobile and Ubiquitous Information Access,22
Mobile Information Management,14
Mobile Networks and Computing,22
Mobile Object Systems,22
Mobile Response,34
Mobile Robots,126
MobileCloud,186
MobileDeLi,28
MobileHCI,452
MobileHCI (Extended Abstracts),91
MobileHCI Adjunct,293
MobileHealth@MobiHoc,60
Mobility Conference,358
ModComp@MoDELS,25
Model-Based Engineering of Embedded Real-Time Systems,25
Model-Based Testing of Reactive Systems,30
ModelAge Workshop,17
Modelica,190
Modeling in Computer Graphics,56
"Modelle, Werkzeuge und Infrastrukturen zur Unterstützung von Entwicklungsprozessen",29
Modellierung,357
Modellierung (Workshops),106
Modelling and Evaluation of ATM Networks,138
Modelling and Planning for Sensor Based Intelligent Robot Systems,30
"Models, Mindsets, Meta",25
Models@run.time,59
Models@run.time@Dagstuhl,12
MolVA@EuroVis,4
MolVa@EuroVis,11
Monterey Workshop,130
MuC,1478
MuC (Workshopband),1495
MuSe @ ACM Multimedia,41
Multi-Agent-Systems and Applications,25
Multi-Version Program Analysis,3
MultiTemp,226
Multichannel Optical Networks: Theory and Practice,20
Multimedia Information Retrieval,340
Multimedia Information Systems,131
Multimedia on Mobile Devices / Multimedia Content Access: Algorithms and Systems,71
Multimodal Human-Computer Communication,19
Multiple Classifier Systems,239
Multivariate Network Visualization,11
Music Education: An Artificial Intelligence Approach,11
Mycrypt,54
NAA,401
NAACL-HLT,1126
NAACL-HLT (1),426
NAACL-HLT (2),155
NAACL-HLT (Demonstrations),64
NAACL-HLT (Industry Papers),82
NAACL-HLT (Student Research Workshop),100
NAACL-HLT (Tutorial Abstracts),14
NACLP,120
NAFIPS,318
NAI@SIGCOMM,35
NAIS,38
NANOARCH,466
NANOCOM,353
NAPAW,15
NAS,649
NASA Formal Methods,205
NATO ASI CP,17
NATO ASI DBM,17
NATO ASI Mining Massive Data Sets for Security,34
NATO ASI OODBS,18
NATO ASI PDC,13
NATO Neurocomputing,47
NATW,68
NBiS,1430
NCA,1083
NCAA,98
NCAA (1),83
NCAA (2),82
NCC,797
NCCA,86
NCCET,82
NCM,557
NCMA,200
NCPW,57
NCS,79
NCTCS,116
NCVPRIPG,264
NDA@SIGMOD,15
NDDL,24
NDM@SC,22
NDSS,1211
NDT (1),112
NDT (2),117
NEAT@SIGCOMM,19
NEC Research Symposium on Multimedia Computing,11
NEMS,2535
NEO,18
NER,1171
NESEA,56
NET-COOP,67
NETGAMES,271
NETWORKING,486
NETWORKS,25
NETYS,306
NEUROTECHNIX,89
NEW2AN,815
NEW2AN/ruSMART,82
NEW2AN/ruSMART (1),35
NEW2AN/ruSMART (2),75
NEWCAS,1363
NEWS@ACL,77
NEWS@IJCNLP,58
NFM,311
NFMCP,63
NFMCP@PKDD/ECML,40
NFPinDSML@MoDELS,14
NFV-SDN,373
NF²,18
NG-RES@HiPEAC,35
NGCAS,122
NGI,106
NGITS,187
NGMAST,310
NHT@HT,29
NICE,92
NICSO,106
NIK,137
NILES,377
NIME,2043
NIPS,7280
NIPS Time Series Workshop,7
NISS,230
NISS (Springer),63
NKOS@TPDL,25
NL4AI@AI*IA,89
NLDB,1009
NLDL,116
NLLP@EMNLP,56
NLP-DBPEDIA@ISWC,24
NLP4DL/AT4DL,11
NLPCC,234
NLPCC (1),373
NLPCC (2),326
NLPCS,47
NLPIR,196
NLPKE,365
NLPLOD@RANLP,8
NLUCS,57
NMA,186
NMELP,22
NMR,188
NMT@ACL,27
NNSP,168
NOCS,430
NODALIDA,663
NODe/GSEM,42
NOF,273
NOLISP,180
NOMS,2424
NORCAS,276
NORCHIP,210
NORMAS,31
NORMalize@RecSys,11
NOSSDAV,563
NOSTRADAMUS,82
NOTERE,127
NPAR,153
NPAR@Expressive,47
NPC,734
NPH,37
NSAD@SAS,45
NSDI,986
NSDR,60
NSPW,419
NSS,738
NSV,15
NSV@CAV,29
NSysS,177
NTCIR,1138
NTMS,844
NUMTA (2),52
NUMTA(1),53
NUT@EMNLP,55
NVMSA,163
NVMTS,84
NaBIC,712
NaNA,675
Naming and Addressing for Next-Generation Internetworks,3
Nano-Net,55
NanoNet,59
NarSUM@MM,18
Natural Language Understanding and Logic Programming Workshop,39
Natural Language and Logic,14
NeSy,131
Negotiation and Market Engineering,23
"Negotiation, Auctions, and Market Engineering",18
Nemesis/UrbReas/SoGood/IWAISe/GDM@PKDD/ECML,21
Net-Con,138
NetAI@SIGCOMM,37
NetAISys@MobiSys,14
NetCod,102
NetEcon,28
NetEcon@SIGMETRICS,22
NetGCooP,94
NetGames,56
NetObjectDays,30
NetSci-X,32
NetSoft,730
NetSys,117
NetWORKing,27
Nets4Cars/Nets4Trains,58
Nets4Cars/Nets4Trains/Nets4Aircraft,126
Network Analysis,16
Network Design: Connectivity and Facilities Location,29
Network Flows And Matching,27
Network Threats,13
Networked Group Communication,110
Networking,1055
Networking (1),70
Networking (2),62
Networking Workshops,51
Networking in Open Systems,27
Networks in Distributed Computing,12
Neue Informationstechnologien und Verwaltung,33
NeurIPS,13049
NeurIPS (Competition and Demos),102
Neural Networks and Computational Intelligence,97
New Directions in Question Answering,48
New Trends in Constraints,17
NewsIR@ECIR,28
NextComp,80
NiDS,70
NoCArc@MICRO,141
NoDaLiDa,136
NoF,71
Nonclassical Logics and Information Processing,11
Nonmonotonic and Inductive Logic,32
NooJ,163
NorCAS,140
NordSec,286
NordiCHI,1232
NuTMiC,17
Numerical Methods for Structured Markov Chains,16
Numerical Software with Result Verification,19
Numerical Validation in Current Hardware Architectures,39
Nursing Informatics,1270
O-COCOSDA,285
O-COCOSDA/CASLRE,117
OASIS@HT,21
OBPDC,19
OCCE,69
OCIT,371
OCL@MoDELS,68
ODBIS,21
ODR,20
OECC/PSC,757
OFC,7358
OGRS,16
OHARS@RecSys,17
OHS-7/SC-3/AH-3,32
OIC,28
OKCon,44
OL2A,110
OL2A (2),27
OLA,105
OLUD@WCCI,11
OM,316
OM@ISWC,235
OMIA@MICCAI,104
ONDM,721
ONTOBRAS,250
ONTOBRAS-MOST,62
OODBS,79
OOIS,352
OOPSLA,1221
OOPSLA Addendum,418
OOPSLA Companion,936
OOPSLA/ECOOP Addendum,18
OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,86
OPODIS,813
OPTICS,36
OPTIMA,96
OR,1422
ORE,59
ORSUM@RecSys,40
OSC,58
OSDI,614
OSMSES,47
OSS,489
OSS4MDE@MoDELS,17
OST,25
OST@ICDAR,19
OTM,186
OTM Conferences,265
OTM Conferences (1),523
OTM Conferences (2),410
OTM Workshops,1230
OTM Workshops (1),222
OTM Workshops (2),174
OVERLAY@AI*IA,50
OWLED,308
OWLED (Spring),25
OZCHI,1494
OZCHI (LNCS Selection),12
Object Orientation with Parallelism and Persistence,12
Object Representation in Computer Vision,45
Object-Based Concurrent Computing,15
Objects and Databases,15
"Objects, Agents, and Features",14
Odyssey,618
Offene Multifunktionale Büroarbeitsplätze und Bildschirmtext,23
On Conceptual Modelling (Intervale),20
On-Line Algorithms,17
One-Of-A-Kind Production,32
Online Algorithms,19
OnlineGreenComm,138
Onward!,226
OpML,28
OpNeTec,79
Open Distributed Processing,69
Open Identity Summit,196
OpenIoT@SoftCOM,14
OpenSHMEM,85
OpenSym,268
OpenSym (Companion),26
Operating Systems Engineering,23
Optimization Techniques,273
OrdRing@ISWC,14
Organisation informationstechnik-gestützter öffentlicher Verwaltung,44
Organizational Semiotics,22
Organizing the Extended Enterprise,21
Over-Constrained Systems,16
P&D@MoDELS,16
P-RECS@HPDC,14
P2P,117
P2PIR@CIKM,15
P2PKM,20
P3HPC@SC,38
PAAM,155
PAAMS,623
PAAMS (Special Sessions),257
PAAMS (Workshops),424
PAAP,545
PAAR@IJCAR,66
PAC,51
PACBB,330
PACIS,5196
PACLIC,1736
PACLING,91
PACRIM,233
PACS,55
PACT,992
PADG@ESORICS,12
PADL,486
PADS,404
PADTAD,58
PAHI,34
PAINT@SPLASH,16
PAIS,255
PAISI,167
PAKDD,1014
PAKDD (1),783
PAKDD (2),752
PAKDD (3),236
PAKDD (Workshops),116
PAKDD Workshops,325
PAKM,238
PAM,525
PAMCO@MobiHoc,13
PAME@STAF,10
PAN,13
PAPIs,16
PAPM-PROBMIV,31
PAR@ITP,11
PARA,697
PARA (1),33
PARA (2),46
PARCO,1212
PARELEC,313
PARLE,248
PARLE (1),84
PARLE (2),80
PARMA-DITAM,18
PARMA-DITAM@HiPEAC,62
PASC,162
PASCAL,34
PASCO,130
PASM,59
PASM/PDMC,16
PASM@EPEW,12
PASM@FM,10
PASM@MASCOTS,12
PASSWORDS,21
PASTE,148
PATAT,135
PATMOS,927
PAW-ATM@SC,27
PAW@SC,14
PBG,41
PCBBE,67
PCGames@FDG,22
PCI,524
PCM,680
PCM (1),534
PCM (2),609
PCM (3),172
PCRCW,49
PCS,962
PDC,175
PDC (1),112
PDC (2),341
PDCAT,1572
PDCCS,74
PDCS,410
PDIS,154
PDMC,30
PDMC@CAV,20
PDMC@ICALP,7
PDP,2352
PDPAR/PaUL@FLoC,9
PDPAR@CAV,9
PDPTA,3074
PDSE,104
PDSW-DISCS@SC,32
PDSW@SC,60
PDeS,273
PE-WASUN,355
PE-WASUN@MSWiM,40
PEARC,660
PEARL,287
PEAS,8
PECCS,369
PEICS@EICS,16
PEMWN,103
PEPM,453
PEPM@POPL,32
PERFORM,21
PERMAVOST@HPDC,8
PERSUASIVE,528
PERSUASIVE (Adjunct),74
PESOS,19
PESOS@ICSE,61
PETRA,1543
PFE,77
PG,433
PG (Short Papers),109
"PG (Short Papers, Posters, and Work-in-Progress Papers)",50
PGAS,42
PGM,145
PGW@CHI PLAY,9
PHOTOPTICS,241
PICS,567
PIKM,74
PIKM@CIKM,41
PIMRC,12846
PIMRC Workshops,81
PIPPI@MICCAI,22
PIT,65
PKAW,220
PKDD,680
PKDD/ECML Workshops (1),158
PKDD/ECML Workshops (2),139
PKIA,39
PLACES,66
PLACES@DisCoTec,9
PLACES@ETAPS,41
PLAIS,28
PLAN-X,44
PLANS,689
PLAS,90
PLAS@CCS,52
PLAS@ECOOP,18
PLATEAU,41
PLATEAU@SPLASH,28
PLATEAU@UIST,9
PLDI,1518
PLEAD@CIKM,13
PLEASE@ICSE,61
PLILP,308
PLM,626
PLM (1),39
PLM (2),36
PLN-DS@SEPLN,24
PLOS@SOSP,92
PLP@ILP,20
PLPV,61
PLPV@IJCAR,10
PLoP,55
PM2HW2N,71
PM2HW2N@MSWiM,118
PMAI@IJCAI,26
PMAM,51
PMAM@PPoPP,101
PMBS@SC,121
PMCCN,21
PMLDC@ECOOP,14
PNGT@ICGT,8
PNPM,269
PNSE,38
PNSE @ Petri Nets,95
PNSE@Petri Nets,74
PNSE@Petri Nets/ACSD,25
PODC,2266
PODP,14
PODS,1372
POLICY,378
POPL,1568
POS,244
POS@SAT,39
POST,129
POSTA,110
PPAM,537
PPAM (1),416
PPAM (2),394
PPCP,65
PPDP,584
PPIG,639
PPPJ,300
PPREW@ACSAC,18
PPREW@POPL,14
PPSC,1128
PPSDR@ICRA,28
PPSN,1105
PPSN (1),265
PPSN (2),243
PPSWR,64
PPT@PERSUASIVE,43
PPoPP,1116
PQCrypto,282
PQCrypto (2),15
PRCV (1),320
PRCV (10),41
PRCV (11),41
PRCV (12),41
PRCV (13),42
PRCV (2),323
PRCV (3),292
PRCV (4),182
PRCV (5),42
PRCV (6),42
PRCV (7),41
PRCV (8),41
PRCV (9),41
PRDC,968
PRESTO,26
PRET,44
PRIB,268
PRICAI,1150
PRICAI (1),274
PRICAI (2),187
PRICAI (3),187
PRICAI Workshops,72
PRIMA,898
PRIMA Workshops,52
PRIME,340
PRIME@MICCAI,131
PRIMIUM,28
PRIS,309
PRISMS,24
PRNI,254
PRO-VE,1309
PROBMIV,12
PROCOMET,59
PROFES,903
PROFES (1),36
PROFES (2),54
PROFILES@ESWC,16
PROLAMAT,345
PROLE,90
PROMAS,92
PROMISE,191
PROMISE Winter School,23
PROMISE@ICSE,38
PROOFS,18
PROPOR,472
PRS,40
PReMI,734
PSATS,144
PSB,325
PSC,223
PSCC,446
PSD,96
PSDML,12
PSIVT,542
PSIVT (1),37
PSIVT (2),36
PSIVT Workshops,106
PSL,29
PSLS,22
PSPL@LICS,7
PSSE,18
PST,823
PSTV,336
PSYCHOBIT,92
PSYCO,110
PT-AI,98
PV,56
PV@MMSys,21
PVM,206
PVM/MPI,792
PVW,42
PWC,315
PaCT,694
PaIR@CIKM,34
PaPoC@EuroSys,108
Pacific Symposium on Biocomputing,847
PacificVis,603
Pairing,129
PanAfriCon AI,17
PanAfriCon AI (1),16
PanAfriCon AI (2),12
Panhellenic Conference on Informatics,594
Parallel CFD,146
Parallel Computing in Science and Engineering,11
Parallel Processing of Discrete Optimization Problems,19
Parallel Symbolic Computing,27
Parallel Tools Workshop,60
Parallel and Distributed Computing and Networks,347
"Parallelism, Learning, Evolution",31
Parcella,117
Partial Evaluation,18
Partitioning Data Sets,23
Patch-MI@MICCAI,79
Peer-to-Peer Computing,436
PerCom,856
PerCom Workshops,2795
PerDis,305
PerMIS,230
PerMIn,81
PerSOM,10
Performance,283
Performance of Distributed Systems and Integrated Communication Networks,25
Personal Computing,13
Perspectives of Model-Based Testing,6
Perspectives@RecSys,29
Perspektiven der Informatik,26
Pervasive,243
PervasiveHealth,1114
Petri Nets,400
Petri Nets (2),9
PhD@VLDB,112
PhiSE,11
"Photography, Mobile, and Immersive Imaging",26
PhyCS,126
PhyCS (Selected Papers),24
Physik und Informatik,45
PinKDD,19
"Plan, Activity, and Intent Recognition",17
PlanSIG,11
Planar Graphs,16
PoEM,336
PoEM (Forum),40
PoEM (Short Papers),48
PoEM Companion,30
PoEM Doctoral Consortium,23
PoEM Workshops,33
Political Speech,20
Poly/DMAH@VLDB,74
Portability of Numerical Software,24
Power-aware Computing Systems,22
PrOse@PoEM,22
Practical Approaches to Multi-Objective Optimization,24
PredictGIS@SIGSPATIAL,26
Predicting Real World Behaviors from Virtual World Data @ SocialCom,8
Preferences,10
PrimeLife,78
Principles and Practices of Semantic Web Reasoning,6
PrivOn@ISWC,31
Privacy Enhancing Technologies,212
Privacy and Identity Management,222
Privacy in Statistical Databases,172
ProComm,339
ProHealth/KR4HC,13
ProMAS,64
ProTools@SC,21
Probabilistic Graphical Models,155
"Probabilistic, Logical and Relational Learning",12
"Probabilistic, Logical and Relational Learning - A Further Synthesis",11
Problems and Methodologies in Mathematical Software Production,13
Process in Distributed Operating Systems and Distributed Systems Management,25
ProfIT AI,59
Program Analysis and Compilation,17
Program Construction,34
Program Specification,18
Programming,228
Programming Environments for High-Level Scientific Problem Solving,32
Programming Models for Ubiquitous Parallelism,6
Programs as Data Objects,18
Proof Complexity and Feasible Arithmetics,17
Prostate Cancer Imaging,32
Protocol Test Systems,82
Protocols for High-Speed Networks,90
ProvSec,403
Prozeßrechnersysteme,108
PuK,98
Public Key Cryptography,558
Public Key Cryptography (1),199
Public Key Cryptography (2),193
PxTP,36
PxTP@CADE,21
PyHPC@SC,35
Q-SE@ICSE,23
Q-SET@QCE,18
Q2SWinet,253
Q2SWinet@MSWiM,80
QAPL,155
QAPL@ETAPS,13
QCE,571
QEST,648
QFM,12
QI,186
QMPD,4
QPL,262
QPL/DCM@ICALP,19
QPL@MFPS,19
QRS,584
QRS Companion,961
QSHINE,699
QSIC,644
QSW,31
QTNA,191
QTOP@NetSys,20
QUAT@WISE,10
QUATIC,574
QoEVMA @ ACM Multimedia,19
QoMEX,774
QoP,38
QoS-IP,134
QoSA,165
QofIS,151
QuASoQ/SEED@APSEC,12
QuASoQ@APSEC,39
QuWeDa@ISWC,15
Quadratic Assignment and Related Problems,20
Quality of Numerical Software,34
QuantumComm,38
Qurator,42
R3GEO,30
RAAD,354
RACS,788
RADIOELEKTRONIKA,226
RAID,609
RAIL,25
RAISE@ICSE,52
RAIT,463
RAM,558
RAM-SE,53
RAM-SE@ECOOP,21
RAMBO+HVSMR@MICCAI,18
RAMiCS,213
RANDOM,71
RANDOM-APPROX,95
RANLP,1072
RANLP Student Research Workshop,41
RAPIDO,45
RAPIDO@HiPEAC,24
RASLAN,271
RASTA,18
RC,263
RCAI,63
RCAR,1169
RCDL,144
RCIS,1000
RCIS Workshops,39
RCLP,38
RCRA@AI*IA,36
RCoSE,10
RCoSE@ICSE,28
RE,1580
RE Workshops,300
RE4SuSy@RE,42
RE@RunTime,16
REACTION,33
REALWSN,52
REBLS@SPLASH,46
RECITAL,128
RECITAL (Posters),18
RECITAL (articles courts),22
RECOMB,1119
RECOMB-CG,165
RED,32
REDUNDANCY,84
REET,37
REET@RE,9
REFINE@IFM,13
REFSQ,447
REFSQ Workshops,334
REHAB,139
REHAB (Revised Selected Papers),27
RELATIONS@IWCS,5
RELAW,79
RELENG@ICSE,21
REM@ESORICS,8
RESOSY@APSEC,9
RESPECT,203
RESS,23
RET@ICSE,21
REV,463
REVOTE,19
REW,88
REX Workshop,124
RFID,169
RFID-TA,692
RFIDSec,99
RFIDSec Asia,27
RFMI,15
RIAO,627
RICAI,681
RICE,222
RIDE,129
RIDE-IMS,64
RIF,27
RIIFORUM,292
RIIT,79
RIMS Symposia on Software Science and Engineering,16
RIMS Symposium on Software Science and Engineering,13
RISE,47
RISK,21
RISK@ICTSS,10
RISSEF,25
RIVF,951
RJCIA,23
RMC,9
RMC@ICWE,9
RNDM,141
RNO-AI@MICCAI,10
RO,32
RO-MAN,3461
ROA@ICSE,14
ROBIO,7253
ROBOCOMM,83
ROBOT (1),337
ROBOT (2),336
ROBOVIS,75
ROCKS,8
ROCLING,805
ROCLING (1),36
ROCLING (2),15
RODBH,7
ROMCIR@ECIR,29
ROSE,386
ROSS@HPDC,34
ROSS@ICS,34
RP,249
RR,243
RRNR,126
RRPR,39
RRPR@ICPR,13
RSAE,24
RSCTC,330
RSDHA@SC,11
RSEISP,128
RSFDGrC,476
RSKD,87
RSKT,809
RSP,390
RSSE@ICSE,50
RSSRail,88
RSWeb@RecSys,30
RTA,782
RTA-CSIT,111
RTAS,370
RTCSA,1199
RTDB,47
RTIP2R,106
RTIP2R (1),140
RTIP2R (2),113
RTIP2R (3),68
RTNS,336
RTS,281
RTSI,657
RTSS,1601
RULE,20
RULE@FLoC,9
RULE@RDP,37
RV,462
RV@CAV,38
RV@ETAPS,14
RVSP,226
RW,62
RWDSL@CGO,24
RWS,1006
Randomization Methods in Algorithm Design,19
ReArch@CoNEXT,26
ReCoSoC,411
ReConFig,900
ReMo2V,14
RePa,35
ReTIS,158
Real Computation and Complexity,3
Real-Time Image Processing,79
Real-Time Image and Video Processing,207
RealComp,7
RealDataFCA@ICFCA,7
RealWSN@SenSys,21
Reasoning Web,108
Reasoning with Uncertainty in Robotics,23
RecSys,1730
RecSys Challenge,81
RecSys Posters,94
RecTour@RecSys,61
Recent Advances in Intrusion Detection,59
Refine,57
Refine@FM,46
Refine@ICFEM,13
Reflection,49
Reflection and Software Engineering,13
Regulatory Genomics,11
RelMiCS,259
Reliability Of Computer And Communication Networks,20
Reliable Implementation of Real Number Algorithms,25
Rendering Techniques,430
Rep4NLP@ACL,93
RepL4NLP@ACL,115
"Representation, Analysis and Visualization of Moving Objects",13
Requirements Engineering,57
Requirements Targeting Software and Systems Engineering,16
Research Directions in High-Level Parallel Programming Languages,29
Revised Papers from MDM/KDD and PAKDD/KDMCD,18
RiE,208
RiTA,520
Richard Tapia Celebration of Diversity in Computing Conference,83
Rigorous Methods for Software Construction and Analysis,20
RiiSS,92
RoCHI,309
RoCHI (Selected Papers),10
RoEduNet,351
RoMoCo,344
RoSE@ICSE,53
RoViSP,242
RobCE,78
RobVis,70
RoboCup,1498
RoboSoft,759
Robophilosophy,220
Robophilosophy/TRANSOR,105
Robot Navigation,9
Robotics: Science and Systems,1191
Robust Communication Networks: Interconnection and Survivability,12
Robustness in Identification and Control,33
Rough Sets and Current Trends in Computing,365
RuSCDays,220
RuSSIR,27
RuleML,323
RuleML (2),34
RuleML Challenge,23
RuleML+RR,131
RuleML+RR (Companion),24
RuleML+RR (Supplement),79
Rules in Database Systems,63
Runtime Verification,5
S&P,688
S+SSPR,219
S-BPM ONE,214
S-BPM ONE (Scientific Research),29
S-CUBE,109
S3,17
S3@MobiCom,133
S4SC@ISWC,16
SA,42
SAB,335
SAC,8800
SACAIR,70
SACH,17
SACI,1207
SACMAT,619
SADASC,64
SADFE,126
SAFA@COMMA,39
SAFECOMP,928
SAFECOMP Workshops,411
SAFER-TEA,25
SAG,19
SAGA,83
SAGT,442
SAI (1),198
SAI (2),203
SAI (3),181
SAICSIT,560
SAIG,29
SAINT,739
SAINT Workshops,443
SAIS,56
SALAD@ESWC,31
SAM,1013
SAM@ICSE,23
SAM@MM,19
SAMI@iKNOW,7
SAMOS,622
SAMT,115
SAMT (Posters and Demos),50
SAND,71
SANER,818
SAP,298
SAPA@INTERSPEECH,77
SAR,252
SARA,225
SAS,1390
SASB,52
SASHIMI@MICCAI,127
SASN,63
SASO,436
SASO Workshops,273
SASP,84
SAST,97
SAT,780
SAT-CPS@CODASPY,42
SATE,44
SATToSE,58
SAVCBS,22
SBAC-PAD,693
SBAC-PAD (Workshops),105
SBAC-PADW,31
SBBD,644
SBBD (Short Papers),125
SBC@AsiaCCS,15
SBCARS,244
SBCCI,1151
SBD@SIGMOD,47
SBES,1170
SBESC,418
SBGames,266
SBIA,282
SBIM,104
SBIM@Expressive,45
SBLP,144
SBM,62
SBMF,273
SBP,321
SBP-BRiMS,282
SBPM,24
SBQS,740
SBRC,565
SBRC Companion,137
SBRN,341
SBSC,54
SBSI,1145
SBST@ICSE,99
SC,3132
SC Companion,432
SC-GCE,25
SC-Square@FLoC,7
SC-Square@SIAM AG,9
SC@ETAPS,94
SC@TOOLS,50
SCA,312
SCAI,409
SCALA@ECOOP,33
SCALA@SPLASH,37
SCAM,594
SCAN,55
SCAV@CPSWeek,15
SCC,638
SCC@ASIACCS,32
SCC@AsiaCCS,41
SCCC,927
SCCG,399
SCDM,265
SCDS,197
SCF,121
SCFA,42
SCG,1444
SCIA,740
SCIA (1),77
SCIA (2),81
SCIE,28
SCIS,102
SCIS&ISIS,1060
SCIS/ISIS,320
SCM,239
SCN,335
SCOPES,256
SCOR,35
SCORED@CCS,28
SCS,38
SCSS,184
SCSS (1),206
SCSS (2),101
SCT,328
SCVMA,12
SCVT,155
SC²,70
SC²@SYNASC,8
SD&A,506
SDA,37
SDE,129
SDF,150
SDG@ICSE,24
SDH,106
SDKB,29
SDL Forum,246
SDM,1906
SDN-NFV@CODASPY,43
SDS,348
SDSOA@ICSE,26
SDU@AAAI,80
SDoW@ISWC,26
SE-CSE@ICSE,37
SE-HPCCSE@SC,28
SE4SG@ICSE,17
SE4Science@ICSE,31
SEA,446
SEAA,540
SEAFOOD,57
SEAL,604
SEAMS,205
SEAMS@ICSE,229
SEARIS,62
SEBD,1382
SEBIZ,6
SEC,1507
SECIII,34
SECITC,90
SECON,1472
SECON Workshops,76
SECRYPT,1079
SECURWARE,200
SEDA,49
SEDE,307
SEE,43
SEED,42
SEED/NLPaSE@APSEC,9
SEED@APSEC,7
SEEDA-CECNSM,340
SEENG@ICSE,19
SEET@ICSE,72
SEFM,662
SEFM Satellite Events,25
SEFM Workshops,201
SEG.A@MICCAI,12
SEGS@CCS,21
SEH@ICSE,28
SEHC@ICSE,67
SEHS@ICSE,23
SEKE,3442
SELMAS,83
SELMAS (LNCS),29
SEM,62
SEM4HPC@HPDC,15
SEMANTiCS,228
SEMANTiCS (Posters & Demos),182
SEMANTiCS (Workshops),22
SEMAS,13
SEMCCO,282
SEMCCO (1),156
SEMCCO (2),98
SEMCCO/FANCCO,19
SEMITIC@ACL,38
SEMPS,8
SENSAPPEAL,13
SENSEVAL@ACL,106
SENSORNETS,348
SEPLN (Projects and Demonstrations),58
SEPS@SPLASH,23
SER&IP@ICSE,58
SERA,720
SERA (selected papers),103
SERE,86
SERE (Companion),112
SERENE,136
SERIAL@Middleware,22
SERP4IoT,27
SERVICES,837
SERVICES I,217
SERVICES II,64
SESAME@EuroSys,16
SESC,63
SESENA,24
SESENA@ICSE,29
SESS@ICSE,70
SESoS,28
SESoS-WDES@ICSE,18
SESoS@ICSE,22
SET,37
SETA,288
SETE@ICWL,216
SETN,592
SETN Workshops,29
SETP,62
SETSS,33
SETTA,156
SETra@ICGT,19
SEUH,257
SEUS,171
SEW,215
SEW Tutorial Notes,9
SEWCN,8
SEiA@ICSE,5
SEmotion@ICSE,50
SEsCPS@ICSE,56
SFCM,41
SFEDL@ETAPS,9
SFM,139
SFSW,25
SG-CRC,25
SGAI Conf.,714
SGAI Conf. (Applications),124
SGAMES,40
SGDA,89
SGIoT,132
SGP (Posters),13
SGP Posters,10
SHAPES,43
SHARK@ICSE,32
SI3D,411
SIAM Conf. on Control and its Applications,98
SIBGRAPI,1381
SIBGRAPI Tutorials,45
SICE,656
SICOSIM,8
SIES,481
SIET,258
SIGAda,330
SIGCOMM,1888
SIGCOMM Posters and Demos,258
SIGCPR,811
SIGCSE,6580
SIGCSE (1),532
SIGCSE (2),836
SIGDIAL,187
SIGDIAL Conference,535
SIGDIAL Workshop,218
SIGDOC,1595
SIGFIDET Workshop,70
SIGGRAPH,1590
SIGGRAPH (Conference Paper Track),149
SIGGRAPH (Panels),48
SIGGRAPH (Visual Proceedings),16
SIGGRAPH ASIA (Courses),45
SIGGRAPH ASIA (Posters),123
SIGGRAPH ASIA Art Gallery,81
SIGGRAPH ASIA Art Gallery & Emerging Technologies,107
SIGGRAPH ASIA Computer Animation Festival,294
SIGGRAPH ASIA Courses,115
SIGGRAPH ASIA Emerging Technologies,164
SIGGRAPH ASIA Mobile Graphics and Interactive Applications,117
SIGGRAPH ASIA Posters,369
SIGGRAPH ASIA Technical Briefs,53
SIGGRAPH Abstracts and Applications,713
SIGGRAPH Appy Hour,16
SIGGRAPH Art Gallery,709
SIGGRAPH Asia,194
SIGGRAPH Asia Art Gallery,50
SIGGRAPH Asia Art Papers,23
SIGGRAPH Asia Computer Animation Festival,210
SIGGRAPH Asia Courses,48
SIGGRAPH Asia Emerging Technologies,104
SIGGRAPH Asia Posters,298
SIGGRAPH Asia Symposium on Visualization,37
SIGGRAPH Asia Technical Briefs,185
SIGGRAPH Asia Technical Communications,90
SIGGRAPH Asia XR,104
SIGGRAPH Award Recipients,12
SIGGRAPH Awards,20
SIGGRAPH Computer Animation Festival,1121
SIGGRAPH Courses,876
SIGGRAPH Dailies,70
SIGGRAPH Educator's Forum,62
SIGGRAPH Educators Program,207
SIGGRAPH Electronic Art and Animation Catalog,864
SIGGRAPH Emerging Technologies,481
SIGGRAPH Happy Hour,15
SIGGRAPH Immersive Pavilion,59
SIGGRAPH Labs,20
SIGGRAPH Mobile,30
SIGGRAPH Panels,68
SIGGRAPH Posters,1951
